Altitude [m],Time [s]
2092.97,45.756
2093.44,45.837
2094.28,45.918
2094.28,45.999
2094.6,46.081
2095.33,46.163
2096.02,46.245
2096.61,46.326
2097.02,46.407
2097.02,46.488
2097.81,46.569
2098.27,46.651
2099.22,46.732
2099.8,46.816
2100.5,46.897
2101.18,46.978
2101.18,47.059
2101.48,47.14
2102.39,47.221
2102.78,47.302
2103.37,47.384
2104.19,47.467
2104.19,47.549
2104.71,47.63
2105.39,47.711
2106.38,47.792
2106.81,47.874
2107.53,47.954
2107.53,48.035
2108.14,48.119
2108.67,48.2
2109.31,48.282
2110,48.363
2110.6,48.444
2111.22,48.526
2111.29,48.607
2111.66,48.688
2112.12,48.772
2113.1,48.852
2113.44,48.934
2114.12,49.015
2114.12,49.096
2114.8,49.178
2115.22,49.259
2115.8,49.34
2116.24,49.424
2117.02,49.505
2117.02,49.587
2117.72,49.668
2118.16,49.748
2118.81,49.829
2119.46,49.91
2120.37,49.992
2120.91,50.075
2120.91,50.157
2121.7,50.238
2122.21,50.319
2122.91,50.4
2123.28,50.481
2124.06,50.563
2124.06,50.643
2124.9,50.727
2125.43,50.808
2125.88,50.889
2126.68,50.971
2127.55,51.052
2127.55,51.133
2128.01,51.214
2128.46,51.296
2129.17,51.379
2129.72,51.461
2130.33,51.542
2131.07,51.622
2131.07,51.704
2131.59,51.785
2132.14,51.866
2132.88,51.948
2133.61,52.031
2134.09,52.113
2134.09,52.194
2134.86,52.275
2135.63,52.357
2135.95,52.438
2136.62,52.518
2137.48,52.599
2137.48,52.683
2137.85,52.765
2138.85,52.846
2139.33,52.927
2140.08,53.008
2140.68,53.09
2141.47,53.171
2141.5,53.252
2142.24,53.336
2142.71,53.416
2143.49,53.498
2143.92,53.579
2144.35,53.66
2144.35,53.741
2144.98,53.823
2145.43,53.904
2146.15,53.988
2147.02,54.069
2147.38,54.15
2147.38,54.232
2148.22,54.312
2148.59,54.393
2149.57,54.475
2150.11,54.556
2150.98,54.64
2151.25,54.721
2151.25,54.802
2152.08,54.883
2152.62,54.965
2153.14,55.046
2153.98,55.127
2154.67,55.208
2154.67,55.291
2155.08,55.373
2155.76,55.454
2156.24,55.535
2157.16,55.617
2157.37,55.698
2157.37,55.779
2158.14,55.861
2158.75,55.944
2159.82,56.026
2160.39,56.107
2160.85,56.187
2161.47,56.269
2161.47,56.35
2162.15,56.431
2162.65,56.512
2163.22,56.596
2163.94,56.678
2164.47,56.759
2164.47,56.84
2165.22,56.921
2165.43,57.003
2166.05,57.083
2166.94,57.164
2167.41,57.248
2167.41,57.329
2168.14,57.411
2168.73,57.492
2169.42,57.573
2171.35,57.654
2170.77,57.736
2172.77,57.817
2172.77,57.901
2171.3,57.981
2171.33,58.062
2170.92,58.143
2170.97,58.225
2170.94,58.306
2170.94,58.387
2170.89,58.468
2170.32,58.552
2169.98,58.633
2169.51,58.714
2169.48,58.795
2169.48,58.876
2169.12,58.957
2168.92,59.038
2169.03,59.119
2168.5,59.2
2167.65,59.284
2167.22,59.365
2167.22,59.447
2166.19,59.528
2166.03,59.609
2165.41,59.691
2164.85,59.771
2163.22,59.852
2163.22,59.936
2159.69,60.017
2157.91,60.098
2156.83,60.18
2155.17,60.261
2153.71,60.342
2153.71,60.424
2153.31,60.505
2153.71,60.588
2153.56,60.669
2153.18,60.75
2152.92,60.831
2153.14,60.912
2153.14,60.994
2153.24,61.075
2152.76,61.156
2152.46,61.24
2152.86,61.321
2152.66,61.403
2152.66,61.484
2152.58,61.564
2152.35,61.645
2152.17,61.726
2151.58,61.808
2151.85,61.891
2151.41,61.973
2151.57,62.054
2151.12,62.135
2151.04,62.216
2150.2,62.298
2149.76,62.379
2149.38,62.459
2149.38,62.543
2148.9,62.624
2149.58,62.706
2149,62.787
2149.26,62.868
2148.73,62.95
2148.73,63.031
2148.42,63.112
2148.23,63.196
2148.3,63.277
2148.35,63.358
2148.26,63.439
2148.03,63.52
2148.06,63.602
2147.84,63.683
2147.8,63.764
2147.88,63.855
2147.65,63.937
2147.5,64.018
2147.5,64.099
2147.34,64.181
2146.5,64.262
2146.39,64.344
2145.8,64.424
2145.65,64.505
2145.65,64.584
2146.07,64.665
2145.83,64.747
2145.66,64.828
2145.19,64.909
2144.21,64.99
2144.46,65.072
2144.46,65.153
2143.76,65.236
2143.76,65.317
2143.93,65.398
2143.94,65.48
2143.82,65.561
2143.82,65.642
2143.72,65.724
2143.62,65.805
2143.31,65.889
2143.36,65.97
2143.17,66.051
2143.05,66.132
2143.02,66.213
2142.79,66.294
2142.45,66.376
2142.31,66.457
2142.4,66.541
2142.03,66.622
2142.03,66.703
2141.48,66.784
2141.48,66.866
2141.13,66.947
2140.49,67.027
2140.14,67.109
2140.14,67.192
2139.81,67.274
2139.62,67.355
2139.33,67.436
2139.09,67.517
2138.79,67.599
2138.79,67.68
2138.89,67.761
2138.84,67.845
2138.85,67.926
2138.75,68.006
2138.26,68.087
2138.62,68.168
2138.62,68.25
2138.39,68.331
2138.34,68.412
2138.35,68.496
2137.82,68.577
2137.82,68.658
2137.82,68.74
2137.64,68.82
2137.33,68.901
2137.29,68.982
2136.97,69.063
2137.02,69.145
2136.61,69.228
2136.61,69.31
2136.29,69.391
2136.16,69.472
2136.06,69.554
2135.72,69.635
2135.27,69.715
2135.27,69.797
2135.33,69.88
2134.9,69.962
2134.74,70.043
2134.19,70.124
2134.02,70.206
2134.02,70.287
2133.92,70.368
2133.49,70.449
2133.39,70.533
2133.3,70.614
2133.26,70.694
2133.23,70.776
2133.23,70.857
2133.42,70.938
2133.13,71.019
2133.3,71.1
2132.88,71.184
2132.7,71.265
2132.7,71.346
2132.29,71.428
2132.13,71.508
2131.97,71.589
2131.75,71.67
2131.51,71.752
2131.51,71.835
2131.35,71.917
2130.77,71.998
2130.34,72.079
2130.61,72.16
2130.22,72.242
2130.22,72.323
2130.13,72.403
2129.54,72.487
2129.25,72.568
2129.14,72.649
2129.1,72.731
2128.9,72.812
2128.9,72.893
2129.04,72.974
2128.93,73.055
2128.96,73.137
2128.63,73.22
2128.4,73.302
2128.4,73.382
2128.57,73.463
2128.52,73.544
2128.39,73.626
2128.22,73.707
2128.1,73.788
2128.05,73.872
2128.05,73.953
2127.77,74.034
2127.47,74.115
2127.09,74.195
2127.02,74.277
2126.85,74.358
2126.85,74.439
2126.54,74.523
2126.47,74.604
2126.27,74.685
2126.01,74.766
2125.66,74.848
2125.66,74.929
2125.93,75.01
2125.38,75.09
2124.83,75.174
2124.86,75.255
2124.85,75.337
2124.34,75.418
2124.34,75.499
2124.31,75.58
2123.71,75.662
2123.62,75.743
2123.42,75.827
2123.17,75.908
2123.17,75.988
2123.13,76.07
2123.02,76.151
2122.99,76.232
2122.7,76.313
2122.67,76.395
2122.67,76.478
2122.83,76.56
2122.61,76.641
2122.59,76.722
2122.15,76.803
2121.91,76.883
2122.08,76.964
2122.11,77.046
2121.76,77.127
2121.72,77.211
2121.6,77.292
2121.09,77.373
2121.18,77.454
2121.18,77.536
2121,77.617
2120.74,77.698
2120.62,77.778
2120.39,77.862
2120.37,77.944
2120.37,78.025
2119.96,78.106
2119.75,78.187
2119.62,78.269
2119.34,78.35
2119.23,78.431
2119.05,78.515
2119.05,78.596
2119.04,78.676
2118.84,78.757
2118.79,78.839
2118.53,78.92
2118.28,79.001
2118.28,79.082
2118.38,79.166
2118.3,79.247
2118.17,79.328
2117.68,79.41
2117.6,79.491
2117.6,79.571
2117.65,79.652
2117.08,79.733
2117.25,79.814
2117.17,79.898
2116.8,79.979
2116.41,80.06
2116.54,80.142
2116.06,80.223
2115.63,80.304
2115.94,80.385
2115.94,80.466
2115.59,80.549
2115.59,80.631
2115.59,80.712
2115.61,80.793
2115.51,80.874
2115.25,80.955
2115.29,81.036
2115.29,81.118
2115.15,81.201
2115.16,81.283
2115.1,81.363
2115.02,81.444
2114.94,81.525
2114.94,81.607
2114.28,81.688
2114.51,81.769
2114.42,81.85
2114.21,81.929
2114.24,82.01
2114.24,82.091
2113.82,82.172
2113.82,82.253
2113.6,82.334
2113.62,82.415
2113.38,82.496
2113.39,82.58
2113.39,82.661
2113.47,82.742
2113.3,82.824
2113.23,82.905
2113.2,82.985
2113.26,83.066
2113.26,83.147
2112.8,83.231
2112.61,83.312
2112.29,83.393
2112.41,83.475
2111.86,83.556
2111.86,83.637
2111.96,83.718
2111.65,83.799
2111.67,83.879
2111.59,83.963
2111.28,84.044
2111.31,84.125
2111.31,84.206
2110.93,84.288
2110.83,84.369
2110.9,84.45
2110.5,84.531
2110.35,84.615
2110.35,84.696
2110.44,84.776
2110.11,84.857
2110.02,84.938
2109.54,85.02
2109.56,85.101
2109.56,85.182
2109.32,85.273
2109.56,85.355
2109.16,85.436
2108.88,85.517
2108.86,85.598
2108.87,85.68
2108.87,85.761
2108.54,85.841
2108.49,85.923
2108.61,86.006
2108.39,86.088
2108.14,86.169
2108.14,86.25
2107.84,86.331
2107.6,86.413
2107.56,86.494
2107.19,86.575
2106.81,86.659
2106.76,86.739
2106.76,86.82
2106.69,86.902
2106.49,86.983
2106.48,87.064
2105.83,87.145
2105.6,87.227
2105.6,87.31
2105.55,87.392
2105.4,87.473
2105.45,87.554
2105.53,87.634
2105.19,87.716
2105.19,87.797
2104.98,87.878
2104.88,87.962
2104.83,88.043
2104.59,88.124
2104.22,88.206
2104.21,88.287
2104.21,88.368
2104.21,88.449
2103.88,88.529
2104.11,88.613
2103.72,88.694
2103.68,88.776
2103.68,88.857
2103.08,88.938
2103.14,89.019
2103.01,89.101
2102.66,89.182
2102.82,89.263
2102.82,89.347
2102.39,89.427
2101.97,89.508
2102.02,89.59
2101.6,89.671
2101.32,89.752
2100.91,89.834
2100.91,89.915
2100.96,89.999
2100.84,90.08
2100.57,90.161
2100.52,90.242
2100.4,90.323
2100.4,90.404
2100.01,90.485
2099.82,90.566
2099.92,90.65
2099.71,90.731
2099.5,90.812
2099.5,90.894
2099.41,90.975
2099.14,91.056
2098.84,91.137
2098.66,91.218
2098.2,91.301
2098.48,91.383
2098.48,91.464
2097.98,91.545
2097.4,91.626
2097.45,91.707
2097.26,91.789
2097.13,91.87
2097.13,91.951
2096.61,92.035
2096.87,92.115
2096.73,92.196
2096.41,92.278
2096.2,92.359
2096.2,92.44
2095.84,92.521
2095.85,92.603
2095.39,92.686
2095.27,92.768
2095.18,92.849
2095.23,92.93
2095.23,93.01
2094.79,93.091
2094.58,93.173
2094.39,93.254
2094.25,93.338
2094,93.419
2094,93.5
2093.68,93.581
2093.65,93.662
2093.7,93.744
2093.14,93.825
2093,93.905
2093,93.986
2092.93,94.07
2092.58,94.151
2092.31,94.233
2092.14,94.314
2092.19,94.395
2091.61,94.476
2091.61,94.558
2091.46,94.639
2091.46,94.723
2090.93,94.803
2091.23,94.884
2090.62,94.966
2090.62,95.047
2090.35,95.128
2090.32,95.21
2089.82,95.291
2089.72,95.375
2089.9,95.456
2089.9,95.537
2089.64,95.619
2089.43,95.699
2088.91,95.78
2089.05,95.862
2088.53,95.943
2088.5,96.027
2088.5,96.108
2088.32,96.189
2088.11,96.271
2087.84,96.352
2087.74,96.433
2087.6,96.515
2087.6,96.595
2087.85,96.679
2087.08,96.76
2087.05,96.841
2087.01,96.923
2086.89,97.004
2086.89,97.085
2087.01,97.166
2086.43,97.248
2086.48,97.331
2086.02,97.413
2086.07,97.494
2085.86,97.574
2085.86,97.656
2085.78,97.737
2085.41,97.818
2085.5,97.9
2085.11,97.983
2084.85,98.065
2084.85,98.146
2084.38,98.227
2084.63,98.309
2084.11,98.39
2083.97,98.47
2083.83,98.552
2083.68,98.635
2083.64,98.717
2083.67,98.798
2083.1,98.879
2082.89,98.96
2083.01,99.042
2082.8,99.123
2082.8,99.204
2082.41,99.284
2082.39,99.368
2081.86,99.45
2081.75,99.531
2081.61,99.612
2081.61,99.693
2081.41,99.775
2081.23,99.856
2081.3,99.937
2081.23,100.021
2080.82,100.102
2080.82,100.184
2080.47,100.264
2080.69,100.345
2080.25,100.427
2079.95,100.508
2080.08,100.59
2079.79,100.673
2079.79,100.755
2079.78,100.836
2079.63,100.917
2079.14,100.999
2079.1,101.08
2078.98,101.16
2078.98,101.242
2078.94,101.325
2078.64,101.407
2078.35,101.488
2078.4,101.569
2078.22,101.651
2078.22,101.732
2078.21,101.813
2078.28,101.894
2078.04,101.978
2077.88,102.059
2077.64,102.14
2077.55,102.221
2077.55,102.302
2077.26,102.383
2077.14,102.465
2077.21,102.546
2077.11,102.629
2076.86,102.711
2076.86,102.792
2076.56,102.873
2076.59,102.955
2076.43,103.035
2076.15,103.116
2075.94,103.198
2075.75,103.281
2075.75,103.363
2075.29,103.444
2075.3,103.526
2074.94,103.607
2074.49,103.688
2074.61,103.769
2074.61,103.851
2074.36,103.933
2074.29,104.015
2074.11,104.096
2073.7,104.177
2073.57,104.258
2073.57,104.34
2073.25,104.421
2073.19,104.502
2072.84,104.586
2072.86,104.667
2072.7,104.748
2072.4,104.829
2072.4,104.91
2072,104.991
2071.52,105.073
2071.53,105.154
2071.37,105.235
