Altitude [m],Time [s],,,,
2088.11,59.684,,,,
2088.58,59.765,,,,
2088.58,59.846,,,,
2088.85,59.927,,,,
2089.1,60.011,,,,
2089.23,60.092,,,,
2089,60.174,,,,
2089.53,60.255,,,,
2089.53,60.336,,,,
2090.15,60.417,,,,
2090.35,60.498,,,,
2090.67,60.587,,,,
2090.75,60.67,,,,
2091.3,60.751,,,,
2091.29,60.833,,,,
2091.29,60.914,,,,
2091.7,60.995,,,,
2092.14,61.076,,,,
2092.34,61.158,,,,
2092.6,61.239,,,,
2092.58,61.323,,,,
2092.58,61.404,,,,
2093.02,61.485,,,,
2093.16,61.566,,,,
2093.33,61.647,,,,
2093.59,61.728,,,,
2093.85,61.817,,,,
2093.85,61.898,,,,
2094.42,61.982,,,,
2094.77,62.063,,,,
2094.64,62.144,,,,
2095.16,62.226,,,,
2095.4,62.307,,,,
2095.4,62.388,,,,
2095.61,62.469,,,,
2095.71,62.551,,,,
2096.1,62.635,,,,
2096.43,62.724,,,,
2096.74,62.804,,,,
2097.2,62.885,,,,
2097.2,62.967,,,,
2097.51,63.054,,,,
2097.42,63.135,,,,
2097.57,63.216,,,,
2097.92,63.3,,,,
2098.76,63.381,,,,
2098.7,63.463,,,,
2098.7,63.544,,,,
2099.45,63.625,,,,
2099.6,63.706,,,,
2099.85,63.788,,,,
2099.94,63.868,,,,
2100.71,63.964,,,,
2100.71,64.045,,,,
2100.75,64.125,,,,
2101.07,64.216,,,,
2101.59,64.296,,,,
2101.87,64.377,,,,
2102.19,64.459,,,,
2102.34,64.54,,,,
2102.34,64.624,,,,
2102.65,64.705,,,,
2102.83,64.786,,,,
2103.2,64.868,,,,
2103.45,64.949,,,,
2104.23,65.03,,,,
2104.23,65.112,,,,
2104.22,65.192,,,,
2104.89,65.276,,,,
2105.2,65.357,,,,
2105.26,65.445,,,,
2105.63,65.527,,,,
2105.79,65.608,,,,
2105.79,65.689,,,,
2106.7,65.77,,,,
2106.75,65.852,,,,
2106.5,65.935,,,,
2106.38,66.016,,,,
2106.66,66.098,,,,
2106.66,66.179,,,,
2106.31,66.259,,,,
2105.91,66.34,,,,
2105.72,66.422,,,,
2105.56,66.503,,,,
2105.15,66.584,,,,
2104.38,66.675,,,,
2104.47,66.756,,,,
2103.83,66.837,,,,
2103.41,66.918,,,,
2102.97,67,,,,
2102.19,67.081,,,,
2101.02,67.162,,,,
2101.15,67.244,,,,
2100.6,67.326,,,,
2099.07,67.408,,,,
2096.14,67.489,,,,
2094.81,67.57,,,,
2097.55,67.652,,,,
2097.55,67.733,,,,
2094.99,67.814,,,,
2094.4,67.903,,,,
2092.77,67.987,,,,
2091.49,68.068,,,,
